iter	Passed	Remaining
0	7	43629
1	13	40759
2	20	40932
3	27	40609
4	33	40623
5	40	39964
6	46	40037
7	53	40080
8	59	39409
9	66	39712
10	72	39208
11	78	38992
12	84	38734
13	90	38560
14	96	38520
15	103	38558
16	109	38596
17	116	38678
18	122	38651
19	129	38778
20	136	38845
21	143	38911
22	150	38992
23	156	38916
24	163	39084
25	169	38953
26	175	38773
27	181	38669
28	187	38516
29	193	38567
30	199	38505
31	206	38447
32	212	38480
33	219	38459
34	225	38424
35	232	38482
36	239	38550
37	245	38443
38	250	38307
39	256	38221
40	262	38219
41	269	38184
42	275	38228
43	283	38322
44	289	38346
45	295	38276
46	301	38146
47	308	38211
48	315	38262
49	320	38197
50	325	38005
51	332	37983
52	337	37874
53	343	37850
54	350	37902
55	356	37854
56	362	37816
57	368	37719
58	373	37618
59	379	37619
60	386	37673
61	392	37629
62	399	37674
63	405	37581
64	411	37576
65	416	37468
66	423	37500
67	429	37466
68	435	37473
69	442	37461
70	448	37433
71	453	37339
72	458	37245
73	465	37287
74	471	37281
75	478	37266
76	484	37280
77	491	37316
78	497	37314
79	503	37228
80	509	37255
81	515	37221
82	522	37258
83	529	37264
84	535	37259
85	540	37188
86	545	37074
87	551	37064
88	557	36994
89	563	36993
90	569	36957
91	574	36882
92	580	36851
93	586	36865
94	592	36844
95	598	36803
96	604	36764
97	609	36708
98	613	36592
99	618	36501
100	624	36462
101	630	36444
102	635	36389
103	642	36398
104	649	36449
105	655	36441
106	661	36417
107	667	36414
108	672	36330
109	677	36281
110	683	36242
111	687	36143
112	693	36148
113	698	36078
114	703	36013
115	708	35949
116	713	35855
117	719	35848
118	725	35864
119	731	35833
120	737	35815
121	743	35818
122	749	35793
123	754	35757
124	759	35700
125	764	35629
126	770	35621
127	776	35615
128	781	35589
129	787	35544
130	793	35542
131	798	35489
132	803	35455
133	810	35459
134	816	35469
135	821	35429
136	826	35383
137	832	35372
138	839	35379
139	845	35370
140	851	35375
141	856	35315
142	861	35290
143	867	35281
144	872	35223
145	878	35221
146	884	35224
147	890	35203
148	896	35203
149	903	35223
150	908	35190
151	914	35172
152	919	35135
153	925	35114
154	929	35063
155	935	35033
156	939	34977
157	945	34957
158	951	34942
159	955	34885
160	960	34844
161	966	34843
162	972	34813
163	977	34793
164	983	34766
165	989	34774
166	995	34759
167	1000	34731
168	1005	34703
169	1011	34684
170	1016	34659
171	1021	34623
172	1028	34625
173	1033	34615
174	1038	34583
175	1045	34601
176	1052	34614
177	1058	34607
178	1063	34581
179	1068	34539
180	1074	34534
181	1080	34549
182	1085	34499
183	1091	34494
184	1096	34470
185	1101	34433
186	1107	34417
187	1113	34428
188	1118	34396
189	1124	34373
190	1130	34380
191	1135	34362
192	1142	34371
193	1148	34386
194	1154	34365
195	1160	34358
196	1166	34348
197	1171	34329
198	1176	34301
199	1182	34293
200	1189	34312
201	1194	34289
202	1199	34258
203	1205	34251
204	1210	34230
205	1215	34198
206	1221	34181
207	1226	34153
208	1232	34146
209	1238	34143
210	1243	34119
211	1249	34102
212	1253	34064
213	1260	34067
214	1265	34041
215	1270	34023
216	1275	33993
217	1282	34004
218	1286	33965
219	1292	33947
220	1297	33921
221	1302	33906
222	1308	33899
223	1314	33902
224	1321	33920
225	1327	33912
226	1333	33906
227	1340	33923
228	1345	33912
229	1351	33912
230	1357	33912
231	1364	33935
232	1369	33907
233	1374	33875
234	1380	33871
235	1386	33866
236	1392	33855
237	1398	33848
238	1404	33850
239	1410	33856
240	1415	33821
241	1422	33836
242	1427	33812
243	1432	33784
244	1436	33746
245	1441	33727
246	1447	33721
247	1453	33713
248	1458	33696
249	1463	33655
250	1469	33659
251	1474	33634
252	1479	33614
253	1484	33586
254	1490	33572
255	1495	33554
256	1501	33551
257	1506	33525
258	1511	33503
259	1516	33489
260	1522	33481
261	1527	33461
262	1534	33463
263	1538	33430
264	1543	33405
265	1548	33386
266	1554	33372
267	1559	33359
268	1564	33338
269	1569	33318
270	1574	33294
271	1580	33289
272	1585	33267
273	1591	33263
274	1597	33247
275	1602	33231
276	1607	33212
277	1613	33206
278	1619	33199
279	1624	33179
280	1629	33173
281	1634	33150
282	1641	33153
283	1645	33120
284	1650	33093
285	1655	33084
286	1661	33079
287	1666	33052
288	1672	33051
289	1678	33045
290	1683	33036
291	1691	33059
292	1695	33033
293	1701	33032
294	1706	33008
295	1712	32992
296	1717	32971
297	1722	32952
298	1726	32923
299	1733	32927
300	1738	32917
301	1745	32926
302	1750	32921
303	1755	32898
304	1761	32885
305	1767	32888
306	1772	32870
307	1777	32843
308	1782	32830
309	1787	32802
310	1792	32790
